"reference","quantity","value","mpn","footprint","selectionBasis","sourceIds","notes"
"C15","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C16","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C17","1","4.7uF","GRM155R60J475ME47D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M47;D;P","Candidate part; retain source conditions and derating"
"C18","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C19","1","4.7uF","GRM155R60J475ME47D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M47;D;P","Candidate part; retain source conditions and derating"
"C20","1","47uF","C3225X5R1A476M250AC","EvlEDA_Pico2350:C3225X5R1A476M250AC_TDK_PA2.2_PB1.1_PC2.2","component-selection.json","BULK;BULK_CURVE;R;P","Native custom land differs from the earlier stock candidate; see bundled library provenance"
"C21","1","47uF","C3225X5R1A476M250AC","EvlEDA_Pico2350:C3225X5R1A476M250AC_TDK_PA2.2_PB1.1_PC2.2","component-selection.json","BULK;BULK_CURVE;R;P","Native custom land differs from the earlier stock candidate; see bundled library provenance"
"C22","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C23","1","1nF","C1005X7R1H102K050BA","Capacitor_SMD:C_0402_1005Metric","component-selection.json","T1","Candidate part; retain source conditions and derating"
"C24","1","15pF","GRM1555C1H150JA01D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M15","Candidate part; retain source conditions and derating"
"C25","1","15pF","GRM1555C1H150JA01D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M15","Candidate part; retain source conditions and derating"
"C26","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"D1","1","PMEG6010ELR","PMEG6010ELR","Diode_SMD:Nexperia_CFP3_SOD-123W","circuit-inputs.json","N;P","Candidate part; retain source conditions and derating"
"D2","1","GREEN","APT1608CGCK","LED_SMD:LED_0603_1608Metric","component-selection.json","LED","Candidate part; retain source conditions and derating"
"J1","1","USB-C","USB4105-GF-A","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","circuit-inputs.json","G;CC","Candidate part; retain source conditions and derating"
"J2","1","PICO_1-20","","EvlEDA_Pico2350:Pico_BarePTH_1x20_P2.54mm_D1.0mm_Pad1.7mm","circuit-inputs.json","P","Board contacts; fitted header MPN is not selected"
"J3","1","PICO_21-40","","EvlEDA_Pico2350:Pico_BarePTH_1x20_P2.54mm_D1.0mm_Pad1.7mm","circuit-inputs.json","P","Board contacts; fitted header MPN is not selected"
"J4","1","SWD","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","circuit-inputs.json","P","Board contacts; fitted header MPN is not selected"
"L1","1","3.3uH","AOTA-B201610S3R3-101-T","EvlEDA_Pico2350:AOTA-B201610S3R3-101-T_RaspberryPi_Minimal","component-selection.json","K;A;D","Candidate part; retain source conditions and derating"
"L2","1","2.2uH","XFL4020-222MEC","Inductor_SMD:L_Coilcraft_XxL4020","component-selection.json","COIL;R","Candidate part; retain source conditions and derating"
"Q1","1","DMG1012T","DMG1012T-7","Package_TO_SOT_SMD:SOT-523","circuit-inputs.json","Q;P","Candidate part; retain source conditions and derating"
"R1","1","27R","RC0402FR-0727RL","Resistor_SMD:R_0402_1005Metric","component-selection.json","K;YR1","Candidate part; retain source conditions and derating"
"R2","1","27R","RC0402FR-0727RL","Resistor_SMD:R_0402_1005Metric","component-selection.json","K;YR1","Candidate part; retain source conditions and derating"
"R3","1","5.1k","RC0402FR-075K1L","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR2","Candidate part; retain source conditions and derating"
"R4","1","5.1k","RC0402FR-075K1L","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR2","Candidate part; retain source conditions and derating"
"R5","1","1k","RC0402FR-071KL","Resistor_SMD:R_0402_1005Metric","component-selection.json","K;YR3","Candidate part; retain source conditions and derating"
"R6","1","10k","RC0402FR-0710KL","Resistor_SMD:R_0402_1005Metric","component-selection.json","K;YR4","Candidate part; retain source conditions and derating"
"R7","1","1k","RC0402FR-071KL","Resistor_SMD:R_0402_1005Metric","component-selection.json","K;YR3","Candidate part; retain source conditions and derating"
"R8","1","33R","RC0402FR-0733RL","Resistor_SMD:R_0402_1005Metric","component-selection.json","K;YR5","Candidate part; retain source conditions and derating"
"R9","1","100k","RC0402FR-07100KL","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR6","Candidate part; retain source conditions and derating"
"R10","1","100k","RC0402FR-07100KL","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR6","Candidate part; retain source conditions and derating"
"R11","1","5.6k","RC0402FR-075K6L","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR7","Candidate part; retain source conditions and derating"
"R12","1","10k","RC0402FR-0710KL","Resistor_SMD:R_0402_1005Metric","component-selection.json","K;YR4","Candidate part; retain source conditions and derating"
"R13","1","100k","RC0402FR-07100KL","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR6","Candidate part; retain source conditions and derating"
"R14","1","100k","RC0402FR-07100KL","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR6","Candidate part; retain source conditions and derating"
"R15","1","100k","RC0402FR-07100KL","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR6","Candidate part; retain source conditions and derating"
"R16","1","200R","RC0402FR-07200RL","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR8","Candidate part; retain source conditions and derating"
"R17","1","1R","RC0402FR-071RL","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR9","Candidate part; retain source conditions and derating"
"R18","1","470R","RC0402FR-07470RL","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR10","Candidate part; retain source conditions and derating"
"R19","1","100R","RC0402FR-07100RL","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR11","Candidate part; retain source conditions and derating"
"R20","1","100R","RC0402FR-07100RL","Resistor_SMD:R_0402_1005Metric","component-selection.json","YR11","Candidate part; retain source conditions and derating"
"SW1","1","BOOTSEL","434133025816","EvlEDA_Pico2350:Wuerth_434133025816_4Terminal","circuit-inputs.json","H;SW","Candidate part; retain source conditions and derating"
"SW2","1","RUN","434133025816","EvlEDA_Pico2350:Wuerth_434133025816_4Terminal","circuit-inputs.json","H;SW","Candidate part; retain source conditions and derating"
"U1","1","RP2350A","RP2350A","Package_DFN_QFN:QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm","circuit-inputs.json","D;H;P","A4 stepping required by design intent"
"U2","1","RT6150B-33","RT6150B-33GQW","EvlEDA_Pico2350:RT6150B_WDFN-10-1EP_2.5x2.5mm_P0.5mm","circuit-inputs.json","R;P","Candidate part; retain source conditions and derating"
"U3","1","W25Q32RV","W25Q32RVXHJQ","EvlEDA_Pico2350:W25Q32RVXH_XSON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm","circuit-inputs.json","W;P","Candidate part; retain source conditions and derating"
"U4","1","USBLC6-2SC6","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","circuit-inputs.json","ST","Candidate part; retain source conditions and derating"
"Y1","1","12MHz","ABM8-272-T3","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","circuit-inputs.json","H;X","Candidate part; retain source conditions and derating"
